batter,bowling_type,phase,balls_faced,runs_scored,dismissals,boundaries,strike_rate,balls_per_dismissal,dismissal_pct,boundary_pct,sufficient_sample
A Ashish Reddy,Pace,death,124,196,11,23,158.06,11.3,8.87,18.55,True
A Ashish Reddy,Pace,middle,12,12,0,0,100.0,,0.0,0.0,False
A Ashish Reddy,Pace,powerplay,4,5,1,1,125.0,4.0,25.0,25.0,False
A Ashish Reddy,Spin,death,22,18,1,0,81.82,22.0,4.55,0.0,False
A Ashish Reddy,Spin,middle,29,49,0,7,168.97,,0.0,24.14,False
A Ashish Reddy,Spin,powerplay,2,0,0,0,0.0,,0.0,0.0,False
A Badoni,Pace,death,248,412,16,53,166.13,15.5,6.45,21.37,True
A Badoni,Pace,middle,189,269,6,37,142.33,31.5,3.17,19.58,True
A Badoni,Pace,powerplay,87,110,4,18,126.44,21.8,4.6,20.69,True
A Badoni,Spin,death,79,126,5,13,159.49,15.8,6.33,16.46,True
A Badoni,Spin,middle,212,236,11,20,111.32,19.3,5.19,9.43,True
A Badoni,Spin,powerplay,10,9,0,1,90.0,,0.0,10.0,False
A Badoni,Unknown,middle,9,11,0,0,122.22,,0.0,0.0,False
A Badoni,Unknown,powerplay,2,5,0,1,250.0,,0.0,50.0,False
A Chandila,Pace,death,7,4,0,0,57.14,,0.0,0.0,False
A Chopra,Pace,death,2,1,1,0,50.0,2.0,50.0,0.0,False
A Chopra,Pace,middle,17,18,0,3,105.88,,0.0,17.65,False
A Chopra,Pace,powerplay,39,27,2,4,69.23,19.5,5.13,10.26,True
A Chopra,Spin,middle,13,7,1,0,53.85,13.0,7.69,0.0,False
A Choudhary,Pace,death,18,23,1,2,127.78,18.0,5.56,11.11,False
A Choudhary,Spin,death,2,2,0,0,100.0,,0.0,0.0,False
A Dananjaya,Pace,death,5,4,0,0,80.0,,0.0,0.0,False
A Flintoff,Pace,death,13,19,1,2,146.15,13.0,7.69,15.38,False
A Flintoff,Pace,middle,5,7,0,1,140.0,,0.0,20.0,False
A Flintoff,Pace,powerplay,13,14,0,2,107.69,,0.0,15.38,False
A Flintoff,Spin,death,4,6,0,1,150.0,,0.0,25.0,False
A Flintoff,Spin,middle,18,16,1,1,88.89,18.0,5.56,5.56,False
A Kamboj,Pace,death,34,50,1,6,147.06,34.0,2.94,17.65,True
A Kamboj,Pace,middle,4,12,0,2,300.0,,0.0,50.0,False
A Kamboj,Spin,death,5,1,1,0,20.0,5.0,20.0,0.0,False
A Kamboj,Spin,middle,4,7,1,1,175.0,4.0,25.0,25.0,False
A Kamboj,Unknown,death,5,4,0,0,80.0,,0.0,0.0,False
A Kumble,Pace,death,29,24,2,2,82.76,14.5,6.9,6.9,False
A Kumble,Pace,middle,2,1,0,0,50.0,,0.0,0.0,False
A Kumble,Spin,death,13,10,0,1,76.92,,0.0,7.69,False
A Kumble,Spin,middle,3,0,0,0,0.0,,0.0,0.0,False
A Manohar,Pace,death,75,125,10,17,166.67,7.5,13.33,22.67,True
A Manohar,Pace,middle,45,57,1,8,126.67,45.0,2.22,17.78,True
A Manohar,Pace,powerplay,12,9,0,2,75.0,,0.0,16.67,False
A Manohar,Spin,death,17,22,2,2,129.41,8.5,11.76,11.76,False
A Manohar,Spin,middle,78,75,5,8,96.15,15.6,6.41,10.26,True
A Manohar,Spin,powerplay,6,3,1,0,50.0,6.0,16.67,0.0,False
A Manohar,Unknown,death,2,1,0,0,50.0,,0.0,0.0,False
A Mhatre,Pace,death,10,9,1,0,90.0,10.0,10.0,0.0,False
A Mhatre,Pace,middle,49,102,2,16,208.16,24.5,4.08,32.65,True
A Mhatre,Pace,powerplay,117,210,9,41,179.49,13.0,7.69,35.04,True
A Mhatre,Spin,middle,36,55,0,5,152.78,,0.0,13.89,True
A Mhatre,Spin,powerplay,22,43,0,7,195.45,,0.0,31.82,False
A Mhatre,Unknown,powerplay,6,22,0,5,366.67,,0.0,83.33,False
A Mishra,Pace,death,217,226,13,24,104.15,16.7,5.99,11.06,True
A Mishra,Pace,middle,101,76,4,6,75.25,25.2,3.96,5.94,True
A Mishra,Pace,powerplay,1,0,0,0,0.0,,0.0,0.0,False
A Mishra,Spin,death,33,34,3,4,103.03,11.0,9.09,12.12,True
A Mishra,Spin,middle,63,44,1,2,69.84,63.0,1.59,3.17,True
A Mishra,Spin,powerplay,4,1,0,0,25.0,,0.0,0.0,False
A Mithun,Pace,death,8,12,2,2,150.0,4.0,25.0,25.0,False
A Mithun,Pace,middle,5,3,1,0,60.0,5.0,20.0,0.0,False
