bowler,bowling_style,batting_style,playing_role,balls_bowled
R Ashwin,Right arm Offbreak,Right hand Bat,Bowling Allrounder,4868
B Kumar,Right arm Medium,Right hand Bat,Bowler,4769
SP Narine,Right arm Offbreak,Left hand Bat,Bowling Allrounder,4730
RA Jadeja,Slow Left arm Orthodox,Left hand Bat,Allrounder,4329
YS Chahal,Legbreak Googly,Right hand Bat,Bowler,4167
PP Chawla,Legbreak,Left hand Bat,Bowling Allrounder,3895
JJ Bumrah,Right arm Fast,Right hand Bat,Bowler,3792
AR Patel,Slow Left arm Orthodox,Left hand Bat,Bowling Allrounder,3639
Rashid Khan,Legbreak Googly,Right hand Bat,Bowling Allrounder,3585
Harbhajan Singh,Right arm Offbreak,Right hand Bat,Bowler,3496
A Mishra,Legbreak,Right hand Bat,Bowler,3444
DJ Bravo,Right arm Medium,Right hand Bat,Allrounder,3296
Sandeep Sharma,Right arm Medium,Right hand Bat,Bowler,3295
UT Yadav,Right arm Fast,Right hand Bat,Bowler,3190
Mohammed Shami,Right arm Fast,Right hand Bat,Bowler,3035
SL Malinga,Right arm Fast,Right hand Bat,Bowler,2974
TA Boult,Left arm Fast medium,Right hand Bat,Bowler,2892
Mohammed Siraj,Right arm Fast,Right hand Bat,Bowler,2834
KH Pandya,Slow Left arm Orthodox,Left hand Bat,Allrounder,2779
HV Patel,Right arm Medium,Right hand Bat,Bowler,2654
P Kumar,Right arm Medium,Right hand Bat,Bowler,2637
I Sharma,Right arm Fast medium,Right hand Bat,Bowler,2546
MM Sharma,Right arm Medium,Right hand Bat,Bowler,2471
JD Unadkat,Left arm Medium,Right hand Bat,Bowler,2418
K Rabada,Right arm Fast,Left hand Bat,Bowler,2395
SN Thakur,Right arm Medium,Right hand Bat,Bowler,2355
Kuldeep Yadav,Left arm Wrist spin,Left hand Bat,Bowler,2336
DW Steyn,Right arm Fast,Right hand Bat,Bowler,2282
Z Khan,Left arm Fast medium,Right hand Bat,Bowler,2276
CV Varun,Legbreak Googly,Right hand Bat,Bowler,2187
R Vinay Kumar,Right arm Medium,Right hand Bat,Bowler,2186
DL Chahar,Right arm Medium,Right hand Bat,Bowler,2171
Arshdeep Singh,Left arm Medium fast,Left hand Bat,Bowler,2167
SR Watson,Right arm Fast medium,Right hand Bat,Allrounder,2137
IK Pathan,Left arm Medium fast,Left hand Bat,Allrounder,2113
A Nehra,Left arm Medium fast,Right hand Bat,Bowler,1974
PP Ojha,Slow Left arm Orthodox,Left hand Bat,Bowler,1945
AD Russell,Right arm Fast,Right hand Bat,Allrounder,1885
PJ Cummins,Right arm Fast,Right hand Bat,Bowler,1883
DS Kulkarni,Right arm Medium,Right hand Bat,Bowler,1876
RP Singh,Left arm Fast medium,Right hand Bat,Bowler,1874
HH Pandya,Right arm Medium fast,Right hand Bat,Allrounder,1865
Ravi Bishnoi,Legbreak Googly,Right hand Bat,Bowler,1857
Avesh Khan,Right arm Fast medium,Right hand Bat,Bowler,1840
M Prasidh Krishna,Right arm Fast medium,Right hand Bat,Bowler,1837
JA Morkel,Right arm Medium fast,Left hand Bat,Bowling Allrounder,1807
CH Morris,Right arm Fast medium,Right hand Bat,Bowling Allrounder,1801
JH Kallis,Right arm Fast medium,Right hand Bat,Allrounder,1799
KK Ahmed,Left arm Medium,Right hand Bat,Bowler,1741
RD Chahar,Legbreak Googly,Right hand Bat,Bowler,1728
M Morkel,Right arm Fast,Left hand Bat,Bowler,1699
R Bhatia,Right arm Medium fast,Right hand Bat,Allrounder,1661
JC Archer,Right arm Fast,Right hand Bat,Bowler,1658
T Natarajan,Left arm Medium,Left hand Bat,Bowler,1631
KV Sharma,Legbreak Googly,Left hand Bat,Bowler,1611
AB Dinda,Right arm Medium fast,Right hand Bat,Bowler,1589
KA Pollard,Right arm Medium,Right hand Bat,Batting Allrounder,1586
M Muralitharan,Right arm Offbreak,Right hand Bat,Bowler,1581
L Balaji,Right arm Medium fast,Right hand Bat,Bowler,1574
SK Trivedi,Right arm Medium,Right hand Bat,Bowler,1557
Shakib Al Hasan,Slow Left arm Orthodox,Left hand Bat,Allrounder,1515
S Nadeem,Slow Left arm Orthodox,Right hand Bat,Bowler,1444
Mustafizur Rahman,Left arm Fast medium,Left hand Bat,Bowler,1419
MM Patel,Right arm Medium fast,Right hand Bat,Bowler,1382
MJ McClenaghan,Left arm Fast medium,Left hand Bat,Bowler,1346
Imran Tahir,Legbreak Googly,Right hand Bat,Bowler,1340
SM Curran,Left arm Medium fast,Left hand Bat,Allrounder,1308
MG Johnson,Left arm Fast,Left hand Bat,Bowler,1301
JP Faulkner,Left arm Fast medium,Right hand Bat,Bowling Allrounder,1287
JO Holder,Right arm Medium fast,Right hand Bat,Bowling Allrounder,1285
MA Starc,Left arm Fast,Left hand Bat,Bowler,1264
TG Southee,Right arm Medium fast,Right hand Bat,Bowler,1262
S Kaul,Right arm Medium,Right hand Bat,Bowler,1238
SK Warne,Legbreak Googly,Right hand Bat,Bowler,1223
JR Hazlewood,Right arm Fast medium,Left hand Bat,Bowler,1214
TU Deshpande,Right arm Medium,Left hand Bat,Bowler,1194
Washington Sundar,Right arm Offbreak,Left hand Bat,Bowling Allrounder,1186
YK Pathan,Right arm Offbreak,Right hand Bat,Allrounder,1184
M Kartik,Slow Left arm Orthodox,Left hand Bat,Bowler,1182
A Nortje,Right arm Fast,Right hand Bat,Bowler,1169
LH Ferguson,Right arm Fast,Right hand Bat,Bowler,1148
Noor Ahmad,Left arm Wrist spin,Right hand Bat,Bowler,1141
SB Jakati,Slow Left arm Orthodox,Left hand Bat,Bowler,1101
M Jansen,Left arm Fast,Right hand Bat,Bowling Allrounder,1081
VR Aaron,Right arm Fast,Right hand Bat,Bowler,1065
GJ Maxwell,Right arm Offbreak,Right hand Bat,Batting Allrounder,1047
S Gopal,Legbreak,Right hand Bat,Allrounder,1000
A Kumble,Legbreak Googly,Right hand Bat,Bowler,983
MC Henriques,Right arm Fast medium,Right hand Bat,Allrounder,979
MP Stoinis,Right arm Medium,Right hand Bat,Batting Allrounder,975
S Sreesanth,Right arm Fast medium,Right hand Bat,Bowler,947
Iqbal Abdulla,Slow Left arm Orthodox,Left hand Bat,Allrounder,943
R Sharma,Legbreak Googly,Right hand Bat,Bowler,935
VG Arora,Right arm Fast medium,Right hand Bat,Bowler,931
SK Raina,Right arm Offbreak,Left hand Bat,Middle order Batter,930
MS Gony,Right arm Medium,Right hand Bat,Bowler,925
DT Christian,Right arm Fast medium,Right hand Bat,Allrounder,922
Yash Dayal,Left arm Medium fast,Right hand Bat,Bowler,920
B Lee,Right arm Fast,Right hand Bat,Bowler,916
PJ Sangwan,Left arm Medium,Right hand Bat,Bowler,905
M Theekshana,Right arm Offbreak,Right hand Bat,Bowler,902
M Ashwin,Legbreak Googly,Right hand Bat,Bowler,898
NM Coulter-Nile,Right arm Fast,Right hand Bat,Bowling Allrounder,892
Yuvraj Singh,Slow Left arm Orthodox,Left hand Bat,Middle order Batter,882
