bowler,bowling_style,batting_style,playing_role,balls_bowled,bowling_arm,bowling_type,bowling_detail
R Ashwin,Right arm Offbreak,Right hand Bat,Bowling Allrounder,4868,Right,Spin,Offbreak
B Kumar,Right arm Medium,Right hand Bat,Bowler,4769,Right,Pace,Medium
SP Narine,Right arm Offbreak,Left hand Bat,Bowling Allrounder,4730,Right,Spin,Offbreak
RA Jadeja,Slow Left arm Orthodox,Left hand Bat,Allrounder,4329,Left,Spin,Left-arm orthodox
YS Chahal,Legbreak Googly,Right hand Bat,Bowler,4167,Right,Spin,Legbreak
PP Chawla,Legbreak,Left hand Bat,Bowling Allrounder,3895,Right,Spin,Legbreak
JJ Bumrah,Right arm Fast,Right hand Bat,Bowler,3792,Right,Pace,Fast
AR Patel,Slow Left arm Orthodox,Left hand Bat,Bowling Allrounder,3639,Left,Spin,Left-arm orthodox
Rashid Khan,Legbreak Googly,Right hand Bat,Bowling Allrounder,3585,Right,Spin,Legbreak
Harbhajan Singh,Right arm Offbreak,Right hand Bat,Bowler,3496,Right,Spin,Offbreak
A Mishra,Legbreak,Right hand Bat,Bowler,3444,Right,Spin,Legbreak
DJ Bravo,Right arm Medium,Right hand Bat,Allrounder,3296,Right,Pace,Medium
Sandeep Sharma,Right arm Medium,Right hand Bat,Bowler,3295,Right,Pace,Medium
UT Yadav,Right arm Fast,Right hand Bat,Bowler,3190,Right,Pace,Fast
Mohammed Shami,Right arm Fast,Right hand Bat,Bowler,3035,Right,Pace,Fast
SL Malinga,Right arm Fast,Right hand Bat,Bowler,2974,Right,Pace,Fast
TA Boult,Left arm Fast medium,Right hand Bat,Bowler,2892,Left,Pace,Fast-medium
Mohammed Siraj,Right arm Fast,Right hand Bat,Bowler,2834,Right,Pace,Fast
KH Pandya,Slow Left arm Orthodox,Left hand Bat,Allrounder,2779,Left,Spin,Left-arm orthodox
HV Patel,Right arm Medium,Right hand Bat,Bowler,2654,Right,Pace,Medium
P Kumar,Right arm Medium,Right hand Bat,Bowler,2637,Right,Pace,Medium
I Sharma,Right arm Fast medium,Right hand Bat,Bowler,2546,Right,Pace,Fast-medium
MM Sharma,Right arm Medium,Right hand Bat,Bowler,2471,Right,Pace,Medium
JD Unadkat,Left arm Medium,Right hand Bat,Bowler,2418,Left,Pace,Medium
K Rabada,Right arm Fast,Left hand Bat,Bowler,2395,Right,Pace,Fast
SN Thakur,Right arm Medium,Right hand Bat,Bowler,2355,Right,Pace,Medium
Kuldeep Yadav,Left arm Wrist spin,Left hand Bat,Bowler,2336,Left,Spin,Left-arm wrist spin
DW Steyn,Right arm Fast,Right hand Bat,Bowler,2282,Right,Pace,Fast
Z Khan,Left arm Fast medium,Right hand Bat,Bowler,2276,Left,Pace,Fast-medium
CV Varun,Legbreak Googly,Right hand Bat,Bowler,2187,Right,Spin,Legbreak
R Vinay Kumar,Right arm Medium,Right hand Bat,Bowler,2186,Right,Pace,Medium
DL Chahar,Right arm Medium,Right hand Bat,Bowler,2171,Right,Pace,Medium
Arshdeep Singh,Left arm Medium fast,Left hand Bat,Bowler,2167,Left,Pace,Medium-fast
SR Watson,Right arm Fast medium,Right hand Bat,Allrounder,2137,Right,Pace,Fast-medium
IK Pathan,Left arm Medium fast,Left hand Bat,Allrounder,2113,Left,Pace,Medium-fast
A Nehra,Left arm Medium fast,Right hand Bat,Bowler,1974,Left,Pace,Medium-fast
PP Ojha,Slow Left arm Orthodox,Left hand Bat,Bowler,1945,Left,Spin,Left-arm orthodox
AD Russell,Right arm Fast,Right hand Bat,Allrounder,1885,Right,Pace,Fast
PJ Cummins,Right arm Fast,Right hand Bat,Bowler,1883,Right,Pace,Fast
DS Kulkarni,Right arm Medium,Right hand Bat,Bowler,1876,Right,Pace,Medium
RP Singh,Left arm Fast medium,Right hand Bat,Bowler,1874,Left,Pace,Fast-medium
HH Pandya,Right arm Medium fast,Right hand Bat,Allrounder,1865,Right,Pace,Medium-fast
Ravi Bishnoi,Legbreak Googly,Right hand Bat,Bowler,1857,Right,Spin,Legbreak
Avesh Khan,Right arm Fast medium,Right hand Bat,Bowler,1840,Right,Pace,Fast-medium
M Prasidh Krishna,Right arm Fast medium,Right hand Bat,Bowler,1837,Right,Pace,Fast-medium
JA Morkel,Right arm Medium fast,Left hand Bat,Bowling Allrounder,1807,Right,Pace,Medium-fast
CH Morris,Right arm Fast medium,Right hand Bat,Bowling Allrounder,1801,Right,Pace,Fast-medium
JH Kallis,Right arm Fast medium,Right hand Bat,Allrounder,1799,Right,Pace,Fast-medium
KK Ahmed,Left arm Medium,Right hand Bat,Bowler,1741,Left,Pace,Medium
RD Chahar,Legbreak Googly,Right hand Bat,Bowler,1728,Right,Spin,Legbreak
M Morkel,Right arm Fast,Left hand Bat,Bowler,1699,Right,Pace,Fast
R Bhatia,Right arm Medium fast,Right hand Bat,Allrounder,1661,Right,Pace,Medium-fast
JC Archer,Right arm Fast,Right hand Bat,Bowler,1658,Right,Pace,Fast
T Natarajan,Left arm Medium,Left hand Bat,Bowler,1631,Left,Pace,Medium
KV Sharma,Legbreak Googly,Left hand Bat,Bowler,1611,Right,Spin,Legbreak
AB Dinda,Right arm Medium fast,Right hand Bat,Bowler,1589,Right,Pace,Medium-fast
KA Pollard,Right arm Medium,Right hand Bat,Batting Allrounder,1586,Right,Pace,Medium
M Muralitharan,Right arm Offbreak,Right hand Bat,Bowler,1581,Right,Spin,Offbreak
L Balaji,Right arm Medium fast,Right hand Bat,Bowler,1574,Right,Pace,Medium-fast
